username,text
@koralinadean,they havent filmed shit. this is not happening lsjsjjdjsjsjs
@hunter_hhhh,only one other guy seeing this movie... im about to make this guy's night
@Raptors,"New Year, new fits"
@ProgressBar202_,2024 is 0% complete.
@itgirlposts,and she stopped the music
@spittinchiclets,Just chuckin’ fish for the walk out
@MUNCHRIH,SHE COOKED HIM OMFG…
@CBCNews,Food economists say our ability to cope with rising prices has been worsened by our collective decline in cooking skills. https://cbc.ca/radio/cooking-skills-decline-1.7064348… .
@vasdrimalitis,"""Why did Green Day have to insert politics into their performance of American Idiot"" is a truly incredible sentence to read."
@libsoftiktok,You drop your kid off at school and this is what greets you. What’s your reaction?
@PopBase,India has officially launched a mission to study black holes.
@Poo_Crave,: Apple has implemented the trash can emojis when typing “Noah Schnapp” on the latest iPhone update
@6ixbuzztv,The scene last night at Union Station on New Years
@Strandjunker,"If Bill Clinton raped girls on Epstein’s island, he should rot in prison for the rest of his life. 

If Donald Trump raped girls on Epstein’s island, he should rot in prison for the rest of his life. 

That wasn’t so difficult, was it?"
@Parkerlawyer,"Woke up this morning expecting a raging headache. My husband said, “Wanna know why your head doesn’t hurt so bad? Your last several gin and tonics I ordered for you were just water.”"
@LFC,Catching up with Bobby and Fab ahead of kick-off
@alyssaleann,"Our neighbors have little kids, so they hosted a “New Year in London” party

They dressed up, played croquet on the front lawn, watched a livestream from London, and were done by 6:30pm central"
@CBCNews,"New tax measures, and changes to existing ones, will begin affecting Canadians in 2024. 
But tax experts say the effects on most individuals are likely to be minor, unless they're high-income earners. https://cbc.ca/news/politics/2024-federal-tax-changes-1.7067843… ."
@OMINOUSRETARD,he looks at other humans the way a velociraptor would
@Goodable,You are not ready for this mother's reply.
@MaxBlumenthal,"Israeli Lt. Col. Golan Vach suggests his tanks killed at least 19 Israelis, including 8 children, in one strike on 10/7

During this presser on 10/14 in front of a destroyed kibbutz home (resembling the Pessi Cohen home in Kibbutz Beeri), Vach said, ""This destruction is due to…"
@leftcoastbabe,"If Bill Clinton knowingly had sex with underage girls he should go to jail.
If Prince Andrew was knowingly had sex with underage girls he should go to jail.
If Donald Trump was knowingly had sex with underage girls, he should go to jail.

See how easy that is?"
@TiredActor,Happy 3 year anniversary to this silly reaction video I made thinking no one would ever see it
@kyeomuffin,if starbucks is the only good thing u have in ur life u might as well end it
@DeFi,"The $100k Quest by @DeFi has JUST BEGUN!

The rules? Really simple!

Complete daily tasks (such as quizzes, riddles, or swaps) & win up to $100k! 

But most importantly: the EARLIER to join the Quest, the more chances you get to WIN! #de_fi 

Clock ticks!"
@marceelias,"Unable to attract the support of a majority of eligible voters, Republicans are left to try to rig the voting rules and exploit loopholes. Put simply, to ensure their electoral survival, Republicans need to make it harder to vote and easier to cheat."
@akiyomii,only my kids would make a grand entrance
@CP24,"Videos, images emerge of massive crowding at Toronto’s Union Station"
@BritttWill,When you only been here 30 days & your mama have you at a NYE party instead of in the bed….happy new year from us
@tippity,what the fuck Gay little monkey
@ZeldaFan180,"Dear Republican idiots, 

Green Day was always political and anti-Republican. Changing lyrics in one song that was already talking about you being idiots doesn't change that... 

They didn't ""go woke"". You're all just morons."
@theestallion,No text found
